Group Number        	Animal Number	Lactation Number	Days In Milk	Yield Today Session 1	Milk Time Today For Session 1	Duration Today Session 1 (mm:ss)	Yield First 2 Min. Session 1 Today	Flow 0-15 Session 1 Today	Flow 15-30 Session 1 Today	Flow 30-60 Session 1 Today	Flow 60-120 Session 1 Today	Avg flow Today For Session 1	Peak Flow Today For Session 1	Take Off Flow Today For Session 1	Milk Time Today For Session 2	Duration Today Session 2 (mm:ss)	Yield Today Session 2	Yield First 2 Min. Session 2 Today	Flow 0-15 Session 2 Today	Flow 15-30 Session 2 Today	Flow 30-60 Session 2 Today	Flow 60-120 Session 2 Today	Avg flow Today For Session 2	Peak Flow Today For Session 2	Take Off Flow Today For Session 2
1                   	4582         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4554         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4557         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4560         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4572         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4545         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4549         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4551         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4537         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4544         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4525         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4528         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4535         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4536         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4066         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
4                   	5407         	1               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
4                   	4587         	1               	4           	2.22                 	3:46 PM                      	-03:-02                         	1.18                              	0.10                     	0.00                      	0.70                      	0.80                       	0.2                         	1.1                          	0.1                              	12:54 PM                     	11:50                           	4.08                 	1.15                              	0.00                     	0.00                      	0.70                      	0.80                       	0.3                         	1.4                          	0.0                              
4                   	4581         	1               	1           	4.07                 	3:57 PM                      	13:21                           	0.65                              	0.00                     	0.00                      	0.30                      	0.50                       	0.2                         	1.0                          	0.2                              	1:13 PM                      	20:33                           	3.54                 	0.03                              	0.10                     	0.00                      	0.00                      	0.00                       	0.2                         	1.1                          	0.0                              
4                   	4583         	1               	2           	6.39                 	8:33 AM                      	09:03                           	2.88                              	0.00                     	0.50                      	1.70                      	1.90                       	0.7                         	2.1                          	0.1                              	1:09 PM                      	13:13                           	2.66                 	1.18                              	0.10                     	0.00                      	0.30                      	1.00                       	0.2                         	1.2                          	0.3                              
4                   	4546         	1               	1           	4.95                 	3:57 PM                      	13:59                           	0.75                              	0.00                     	0.00                      	0.70                      	0.40                       	0.6                         	1.3                          	0.0                              	12:53 PM                     	08:47                           	1.87                 	1.00                              	0.00                     	0.00                      	0.60                      	0.70                       	0.2                         	1.1                          	0.2                              
4                   	4548         	1               	1           	1.88                 	3:37 PM                      	05:52                           	0.00                              	0.00                     	0.00                      	0.00                      	0.00                       	                            	1.4                          	0.0                              	12:53 PM                     	13:18                           	3.33                 	0.10                              	0.00                     	0.00                      	0.20                      	0.00                       	0.2                         	1.9                          	0.1                              
4                   	4550         	1               	            	2.53                 	3:44 PM                      	-01:-59                         	0.85                              	0.00                     	0.00                      	0.30                      	0.70                       	0.2                         	1.4                          	0.1                              	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
4                   	4065         	1               	4           	0.91                 	3:43 PM                      	00:-16                          	0.60                              	0.00                     	0.00                      	0.80                      	0.20                       	                            	1.4                          	0.1                              	12:56 PM                     	07:41                           	0.82                 	0.35                              	0.00                     	0.00                      	0.10                      	0.30                       	0.1                         	1.6                          	1.0                              
34                  	             	                	            	3.28                 	                             	                                	0.99                              	0.01                     	0.07                      	0.64                      	0.64                       	                            	1.4                          	0.1                              	                             	                                	2.72                 	0.63                              	0.03                     	0.00                      	0.32                      	0.47                       	                            	1.4                          	0.3                              
[Group Number] < '8'	             	                	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
